ID,Esai
34,"""1.Pengalaman belajar yang paling berkesan bagi saya adalah ketika saya pertama kali berhasil memecahkan sebuah masalah matematika yang sebelumnya terasa sangat sulit. Saya ingat saat itu saya duduk di bangku sekolah menengah, dan mata pelajaran matematika adalah tantangan besar bagi saya.

2.Membaca dengan Teliti dan Berulang
Langkah pertama yang saya lakukan adalah membaca materi secara menyeluruh. Saya tidak terburu-buru, melainkan mencoba untuk benar-benar memahami setiap bagian. Jika ada konsep atau istilah yang belum jelas, saya mencari referensi tambahan, baik dari buku lain atau sumber online. Saya biasanya membaca beberapa kali agar informasi lebih mudah terserap.

3. Saya lebih suka untuk menggunakan metoe materi yang melibatkan keterampilan praktis, seperti matematika, pemrograman, atau sains, saya lebih memilih untuk langsung mengerjakan soal latihan atau proyek praktis. Saya juga sering menggunakan visualisasi, seperti diagram atau grafik, untuk lebih memahami proses atau konsep yang abstrak.

4.Saya lebih sering menggunakan Canva,Karena menurut saya Canva menjadi pilihan media belajar yang sangat berguna bagi saya karena menawarkan kemudahan dalam membuat materi yang visual dan interaktif. Kemampuan untuk menyajikan informasi secara visual, fleksibilitas dalam desain, dan kemudahan kolaborasi menjadikannya alat yang sangat efektif untuk memperdalam pemahaman dan mempermudah proses belajar. Dengan Canva, belajar menjadi lebih menyenangkan dan lebih mudah dipahami.
"""
35,"""       pengalaman belajar sayaa yang paling menyenangkan adalah saat kerja kelompok dan berdiskusi dengan satu kelompok dan saat berfikir bersama serta presentasi bersama

        cara saya memahami materi cenderung mudah karna saya bakal bakal paham materi kalau ada vidio tutorial dan praktek supaya materi nya masuk kedalam pikiran dan paham materi tersebut

        strategi yang saya gunakan adalah melihat vidio membaca artikel tentang materi tersebut dan menanyakan kepada teman yang sudah paham tentang materi tersebut supaya paham dan tidak pusing tentang materi 

        google dan aplikasi lain karna dengan menggunakan aplikasi tersebut pekerjaan tugas kita bakal lebih mudah dan bakal lebih serius mengerjakan nyaa karena di aplikasi tersebut sudah ada jawaban nyaa jadi kita tinggal nirun saja.

"""
36,"""  Pengalaman belajar saya yaitu saya lebih suka saat belajar ketika ada praktek secara langsung atau dari video, dan saya ketika dalam posisi ini lebih mengerti bagaimana cara melakukan ini ataupun itu dll.
  Langkah-langkah yang saya lakukan untuk mencapai pemahaman materi tersebut yang pertama melakukan visual di pikiran kedua mencoba ketiga selesai.
  Alasan saya memilih metode tersebut karena saya dulu masih kecil selalu bermain lego dan metode itu terbawa sampai sekarang.
  Paling tentu alat-alat elektronik seperti PC dan hp dan lain-lain done."""
37,"""Pengalaman (Belajar)
Belajar melalui praktik, diskusi, atau eksplorasi memperluas wawasan dan keterampilan.

Cara (Memahami Materi)
Memahami materi dilakukan dengan membaca, mencatat, berdiskusi, dan mengulang.

Strategi (Pembelajaran)
Strategi belajar meliputi perencanaan, pembagian materi, dan penggunaan teknik seperti kuis.

Media
Buku, video, dan aplikasi edukasi mempermudah belajar dengan cara yang menarik.

"""
38,"""    Pengalaman yang paling berkesan yaitu, saya bisa mengerjakan tugas matematika tanpa mencontek/bantuan dari teman, saya merasa bangga karena saya tidak mengerti apa-apa tentang matematika.

    Saya mengumpulkan niat terlebih dahulu, karena saya termasuk orang yang malas untuk memahami lagi tentang materi-materi yang tidak saya pahami yang disampaikan bapak ibu guru.
     Saya menggunakan metode bertanya kepada teman, karena penjelasan dari bapak ibu guru kadang tidak masuk kedalam otak saya, dan saya lebih suka berinteraksi langsung, itu membuat saya lebih paham dalam memahami materi apapun.

    Media internet, karena saya suka menjelajah tentang dunia internet."""
39,"""    Pengalaman belajar yang paling berkesan bagi saya adalah saat mempersiapkan diri menghadapi seleksi tim inti Paskibra di sekolah. Sebagai seseorang yang bercita-cita menjadi bagian dari tim tersebut, saya menghadapi tantangan dalam menghafal teori keprotokolan dan menguasai praktik baris-berbaris yang cukup kompleks. Pada awalnya, saya merasa kewalahan dengan banyaknya materi yang harus dipelajari dalam waktu singkat. Namun, melalui kerja keras dan dukungan teman-teman, saya mulai menikmati proses belajar tersebut. Rasa bangga ketika akhirnya terpilih menjadi anggota inti adalah momen yang tak terlupakan dan memberikan motivasi besar untuk terus belajar.
    Pertama-tama, saya membaca teori dari modul yang diberikan dan mencatat poin-poin penting. Setelah itu, saya mendiskusikan materi dengan teman-teman agar lebih memahami konsep yang sulit. Pendekatan ini membantu saya mengidentifikasi kesalahan dan memperbaikinya secara bertahap. Dengan cara ini, saya merasa lebih percaya diri dalam menguasai materi.
   Metode pembelajaran yang sering saya gunakan adalah metode belajar aktif. Misalnya, saya membuat catatan penting terlebih dahulu, lalu saya membaca dan menghafalkannya. Metode ini saya pilih karena melibatkan kombinasi antara visualisasi, analisis, dan tindakan, yang membuat proses belajar lebih efektif.
   Media pembelajaran yang paling sering saya gunakan adalah video tutorial dan aplikasi catatan digital. Video tutorial membantu saya memahami gerakan dengan lebih jelas melalui contoh visual, sementara aplikasi catatan digital memungkinkan saya menyusun catatan yang terorganisir dan mudah diakses kapan saja. Alasan saya memilih media ini adalah karena sifatnya yang fleksibel dan interaktif, sehingga saya bisa belajar dengan cara yang sesuai dengan kebutuhan dan jadwal saya."""
40,"""Pengalaman belajar yang paling berkesan bagi saya itu saat saya belajar membuat sebuah game,pengalaman itu membuat saya sangat terkesan karena dari pengalaman itu saya dapat mengetahui cara untuk membuat suatu game.

Meski awalnya saya tidak paham sama sekali dengan materi tersebut,tetapi seiring berjalannya waktu dan bertambahnya pengalaman saya dalam membuat game,saya jadi dapat memahami materi tersebut,meski pun saya belum sepenuhnya paham dengan materi tersebut.

Saya dapat memahami materi tersebut karena saya melihat vidio tutorial dari orang lain yang sudah berpengalaman dalam membuat game,meski awalnya saya tidak mengerti apa yang ada di vidio tetapi saya mencoba untuk mengikutinya dan lama kelamaan saya menjadi paham.

Dalam membuat game,saya biasanya menggunakan Contruct3,karena Contruct3 menurut saya lebih mudah dan simpel,jadi lebih mudah untuk saya pahami."""
41,"""   pengalaman belajar saya yang berkesan adalah ketika saya berhasil memperbaiki bug pada game yang saya buat, dimana saya mempelajari kesalahan saya dengan konsuktasi dengan ai dan menonton video youtube terkait.
    saya lebih mudah memahami materi dengan melihat langsung dengan membaca atau melihat video tentang materi terkait.
    strategi saya ketika belajar adalah membaca materi terkait kemudian jika belum paham saya akan bertanya pada ai atau bertanya pada guru pembimbing atau saya akan melihat  mengenai materi terkait di youtube
    saya seringmenggunakan media seperti google, chatgpt, youtube, atau artikel pada internet. saya menggunakan itu karena akses informasi lebih cepat dibandingkan mencari di buku atau bertanya langsung kepada orang yang lebih paham"""
42,"""pengalaman belajar saya yang paling berkesan adalah saat saya belajar mengaji waktu itu saya diajak oleh ustadz saya di TPQ untuk mengaji setiap ba'da magrib, awalnya sangat susah untuk mengerti berbagai hukum bacaan tajwid, namun lama kelamaan saya bisa dengan lancar untuk mengaji dan sedikit' bisa berbagi ilmu dengan teman saya

untuk mempermudah saya untuk memahami berbagai materi tsb setelah mengaji sesampainya dirumah saya mengulangi materi materi tadi jika masih kurang paham bisa melihat video video YouTube ataupun kembali bertanya kepada ustadz saya ataupun kepada teman teman mengaji saya

saya memilih metode membaca, mendengarkan serta lgsung mempraktikkan karena dgn metode tersebut saya merasa lebih mudah untuk memahami segala sesuatu yang sekiranya susah atau rumit untuk dipahami 

media yang biasanya saya gunakan adalah video tutorial atau sebuah tulisan karena dengan media tersebut saya bisa dngn cepat menyerap materi, misalnya dengan video tutorial saya bisa mengetahui dimana posisi lidah yang benar ketika mengucapkan huruf Hijaiyah """
43,"""pengalaman belajar saya sering berbeda beda kadang tertulis dan kadang di komputer namun cara belajar saya lebih enak pakai komputer karena lebih enak dan lebih ke mudah untuk mengetik di bandingkan menulis karena saya merasakan bahwa lebih enak dan tidak pegal tangan untuk menulis.


cara memahami materi saya lebih enak di jelaskan dan di praktek kan contoh nya """"seorang guru mengajarkan sebuah materi dan memberi contoh soal yang sedang guru itu jelas kan""""dan juga dengan cara membaca sedikit membantu untuk memahami materi tersebut.


metode saya yang gunakan untuk memahami materi yaitu mendengarkan dengan menggunakan metode tersebut saya lebih paham akan materi yang di sampaikan oleh guru² pengampu dan lebih cepat untuk memahami suatu materi dalam bentuk penjelasan 


media yang saya sering saya gunakan saat belajar adalah vidio pembelajaran karena dengan menggunakan vidio pembelajaran cara memahami nya lebih rinci dan langsung mengarah inti materi yang disampaikan """
44,"""Pengalaman belajar yang paling berkesan adalah ketika saya mempelajari bahasa pemrograman C# untuk pertama kali. Awalnya, saya merasa kesulitan memahami logika pemrograman, tetapi dengan mencoba menyelesaikan masalah satu per satu, saya mulai menemukan pola dan logika yang benar.

Saya memahami materi dengan cara mempraktikkan langsung konsep yang saya pelajari. Biasanya, saya mulai dengan membaca atau menonton tutorial dasar, kemudian mencoba mengaplikasikan konsep tersebut ke dalam proyek kecil atau simulasi.

Metode yang saya gunakan adalah metode belajar seperti biasa, guru menjelaskan atau memberikan materi, murid mendengarkan atau mencatat. Alasannya karena simple dan mudah dipahami, seharusnya.

Media yang paling sering saya gunakan adalah video tutorial online (seperti YouTube). Alasannya, video tutorial sering kali memberikan penjelasan yang visual dan praktis, sehingga lebih mudah dipahami."""
45,"""Saya waktu smp saya suka menonton video membuat web dan saya mencoba nya berhasil  dan saya nge share ke teman saya 

Saya memahami materi dengan menonton video karena video dapat memberikan penjelasan yang lebih jelas dan mudah dipahami melalui kombinasi visual dan audio

Saya menggunakan teknik visual  Dengan melihat contoh nyata atau animasi, saya dapat lebih mudah membayangkan dan mengaitkan konsep-konsep yang sedang dipelajari. Selain itu, video memungkinkan saya untuk mengulang materi yang sulit dipahami, sehingga saya dapat belajar dengan kecepatan yang sesuai dengan pemahaman saya

Media yang Paling Saya Sukai: Video Pembelajaran
Alasan saya menggunakan video sebagai media utama saat belajar adalah karena video dapat menggabungkan elemen visual dan audio, yang membuat pemahaman lebih mudah dan efektif. Video memungkinkan saya untuk melihat   langsung tentang topik yang dipelajari, sehingga konsep-konsep yang sulit menjadi lebih jelas."""
46,"""   Pengalaman saya adalah dulu saya belum bisa untuk mengcoding dan akhirnya terdapat tutorial modul dari guru dan kemudian bisa sedikit sedikit 

   Cara saya adalah terus mengikuti modul dan terus untuk belajar sendiri agar terbiasa 

   Metode yang saya gunakan adalah visual dan kinestetik karena saya sering menggunakan metode tersebut 

   Media internet alasannya karena zaman sekarang sering menggunakan media internet dan mudah diakses"""
47,"""pengalaman belajar yang paling berkesan menurut saya pada saat saya kls 5 sd,di situ saya mengikuti les yang di miliki wali kelas,beberapa bulan mengikuti les di wali kelas saya,ada perkembangan yang sangat meningkat.di situ saya mulai mudah untuk memahami materi yang di ajarkan.

cara saya memahami materi yang saya pelajari adalah dengan cara saya membaca dan mencermati secara berulang kali hingga saya memahami materi tersebut.

strategi yang saya gunakan untuk memahami materi yaitu dengan cara kumpulkan niat dan fokus dengan 1 materi it,di karenakan jika saya tidak niat dan fokus saya tidak akan memahami materi tersebut.

media yang saya sukai saat belajar adalah media vidio,karena jika saya melihat melalui vidio  saya akan lebih mengerti materi tersebut karena ada gambaran mengenai materi tersebut."""
48,"""1. saat studi tour dibali, terasa menyenangkan karena
dapat melihat hal hal baru dan bersama teman dekat
disana aku dan teman-teman ku belajar tempat-tempat yang indah dan populer bahkan mendatangi tempat tersebut

2. melihat contoh yang diberikan atau melihat tata cara membuat sesuatu dan mencari tahu pengertiannya di internet dan mendengarkan apa yang dijelaskan oleh guru atau seseorang yang berpengalaman dan mengetahuinya

3. melihat contoh dan pembelajaran yang menarik, karena dengan begitu hal yang akan aku pelajari akan mudah diserap ilmunya dan mudah dipraktekkan, dan karena itu aku bisa mengerjakan tugas dan ujian dengan mudah

4. digital atau internet, karena teks bisa dibaca dengan jelas dan bisa diganti dengan font-font yang menarik, serta dapat mencari contoh dan pengertian lainnya di internet dengan cepat dan mudah"""
49,"""     Ketika saya belajar membuat game , saat itu saya mulai tertarik dan ingin belajar lebih dalam
     Dengan cara menulis/merangkum materi yang saya baca
      Dengan gaya belajar visual, karena lebih mudah menangkap penjelasan dengan penglihatan
      Buku"""
50,"""1.tidak ada
2 lebih paham jika di jelaskan secara nyata
3.chatgpt, karena chatgpt dibuat untuk membantu jika kita sedang kesulitan
4.chatgpt.iya"""
51,"""Pengalaman belajar yang paling berkesan bagi saya terjadi saat saya pertama kali mempelajari bahasa pemrograman. Sebagai seseorang yang tidak memiliki latar belakang di bidang komputer,mempelajari pemrograman terasa sangat menantang dan memicu banyak rasa frustasi.Saya pertama kali belajar pemograman ketika masuk smk
CARA MEMAHAMI MATAERI:
Untuk memahami materi pemrograman mempelajari dasar-dasar bahasa pemrograman yang ingin di kuasai seperti tipe data, variabel, operator, dan struktur kontrol. Luangkan waktu untuk mengerjakan masalah pemrograman,agar kemampuaqn terus berkembang 
STRATEGI PEMBELAJARAN:
 Memilih bahasa pemrograman yang lebih mudah dipahami dan digunakan sebagai titik awal.dan kita ,Fokus pada elemen dasar seperti variabel, tipe data, struktur kontrol (if-else, loop), fungsi, dan array/list.
MEDIA:
Ketika belajar pemrograman, saya cenderung menggunakan berbagai media pembelajaran, tergantung pada tujuan pembelajaran dan gaya belajar saya. Setiap media memiliki kekuatan dan kelebihan tersendiri, sehingga memilih media yang tepat sangat bergantung pada materi yang dipelajari dan kebutuhan individu.tutorial yutube, Video tutorial sangat membantu untuk memahami konsep-konsep yang lebih abstrak atau kompleks, karena saya bisa melihat langsung bagaimana instruktur menulis kode dan menjelaskan langkah-langkahnya. 

"""
52,"""1.pengalaman belajar dengan menggunakan komputer untuk pertama kali di SD merupakan pengalaman paling berkesan untuk saya karena sejak saat itu saya menjadi suka mempelajari segala hal tentang komputer.saat itu saya masih belajar menggambar dikomputer dengan software yang cukup mudah untuk dipahami, perasaan saya pada waktu itu senang dan sedikit bingung 
2.saya dapat memahami materi dengan memperhatikan penjelasan guru dan mengulangi penjelasan tersebut beberapa kali sehingga saya paham dengan sendirinya.untuk langkah langkah yang saya lakukan untuk mencapai pemahaman tersebut yaitu dengan mengulangi materi yang diberikan oleh guru/pengajar sehingga saya akan paham dengan apa materi yang disampaikan 
3.untuk metode pembelajaran yang saya gunakan biasanya saya belajar sambil mendengarkan musik dan mencari tempat yang cukup sepi/tenang seperti dikamar/perpustakaan sehingga saya tidak terganggu dengan suara berisik.menurut saya dengan metode tersebut lebih mudah untuk memahami suatu materi musik yang membuat tenang juga berpengaruh pada kualitas belajar kita
4.untuk media saya lebih memilih menggunakan buku dari pada menggunakan gadget karena dengan buku kita bisa mencatat kembali apa yang telah disampaikan oleh guru/pengajar sedangkan saat menggunakan gadget cenderung untuk mencatat kembali materi yang disampaikan.alasan saya menggunakan media tersebut karena lebih mudah untuk memahami materi"""
53,"""Pengalaman saya saat saya sedang memberi event pada sebuah game dan menjadi error.Beruntung saya dibantu teman-teman saya dan berhasil memperbaiki game saya. 

Cara saya memahami materi adalah dengan bertanya kepada teman yang sudah paham dan meminta saran untuk belajar. Sehingga saya mampu memahami berbagai jenis materi. 

Saya akan mengulang kembali materi yang sudah diajarkan. Dan akan mempraktikkannya di rumah. 

Saya paling suka menggunakan media laptop. Karena saya dapat sambil mendengarkan musik dan menonton video. """
54,""" Pengalaman belajar yang paling berkesan saya adalah ketika saat perkerjaan praktek dan berkelompok dengan teman teman
 Cara saya agar dapat mudah memahami materi saat dijelaskannya bersama video dan ada game game kecilnya 
  Tekniknya dengan melihatkan video dan menjelaskannya karena saya sangat suka memahami video dan mudah dipahami
   Media gambar atau video karena saya suka memahami gambar dan video dan mudah masuk ke otak """
55,"""  dismk ini aku belajar matematika dengan mudah bgt ngerti nya gampang bgt bisanya. gurunya santai bgt, klo gabisa sabar ngajari, caranya nerangin santai, gatau bisa gampang bgt masuknya.
  
  aku lebih paham lebih ngerti kalo diajarin sm orang, bisa tanya' langsung, nyoba langsung. daripada ngeliat video karna menurutku bosenin bgt. atau kadang lebih ngeliat catetan aja buat nginget', liat contoh' masalah yg sama.

  aku milih metode diterangin. karena menurutku lebih jelas, lebih paham aja. tergantung caranya juga nerangin, kadang beberapa guru materinya gabisa masuk di akuu, gatau kenapa. tapi beberapa guru yg ngajar nya santai, suasananya santai bisa jadi lebih masuk gitu.

  aku lebih suka gambar pake pensil sm kertas atau desain' dicanva pake laptop. nulis juga suka, sm dihias' cuma gasuka klo banya'."""
56,"""     Pengalaman paling berkesan saat saya belajar adalah ketika saya bisa membuat game tanpa campur tangan orang lain, meski saya hanya memiliki pengetahuan - pengetahuan dasar tentang pembuat game, tapi project game itu bisa selesai, awalnya sih memang sulit karna banyak hal yang sebelumnya saya tidak tahu namun saya mencoba melihat banyak materi di online akhirnya saya bisa menyelesaikannya
     Untuk memahami materi yang saya pelajari, saya biasanya memulai dengan memahami terlebih dahulu konsep yang ingin saya buat, lalu saya mencoba mencarinya terlebih dahulu video video yang berkaitan dengan konsep tersebut, bila tidak ada video yang memiliki konsep yang saya ingin kan, saya biasanya melakukan percobaan - percobaan berdasarkan logika saya sendiri, apa bila masih tidak berhasil biasanya saya bertanya di forum forum tentang materi/konsep yang saya maksud tersebut.
     Startegi belajar saya dengan cara pembilahan bagian bagian proyek, lalu saya mengerjakaan terlebih dahulu yang mudah mudah jika sudah selesai bagian yang sulit, dan jika saya mengalami masalah saya biasanya mencoba coba terlebih dahulu 10 - 15 menit jika masih belum terpecahkan biasanya sata tinggal tiduran sambil mencari caranya di internet.
     Media yang sering saya gunakan untuk mencari cara penyelesaian adalah video tutorial di youtube, dan forum forum seperti reedit dan lain lain di internat, """
57,"""Pengalaman belajar yang paling berkesan adalah ketika pemberi materi menjelaskan keseluruhan materi secara jelas dan ada sesi untuk kita bertanya tentang materi yang di jelaskan jika kita belum terlalu jelas.

Cara saya memahami materi adalah dengan mendengarkan penjelasan yang sudah dijelaskan dan cara mencapai pemahaman tersebut dengan mempelajari nya kembali dan bertanya kepada ahli materi jika ada yang belum di pahami.

Saya biasa melakukan pengulangan dari materi yang sudah saya dapat dan sambil mendengarkan musik dapat membuat lebih fokus untuk mempelajari materi tersebut,
saya memilih metode ini karna saya rasa ini efektif untuk saya lebih memahami materi yang sudah di berikan.

media yang saya sering gunakan adalah laptop kalau tidak hp, karena lebih praktis dan simple dalam memahami materi yang sudah di berikan."""
58,"""    Pengalaman belajar yang paling berkesan untuk saya, adalah disaat saya masih TK tidak mengetahui apa itu Laptop, saya diajarkan untuk menggunakannya, mengetik, mengirim, juga belajar menggunakan web, disaat itu saya sangat merasa senang dan takjup akan hal yang saya pelajari.
   Ya, disaat itu kakak saya membeli laptop, ia menggunakannya untuk belajar, juga saat ku kecil saya adalah orang yang suka ingin tahu hal-hal baru, makanya kakak saya mengajarkannya kepada saya, cara mengetik, cara mencari sesuatu, dan lainnya, dan mulai dari saat itu saya belajar untuk menggunakan laptop dan berujung belajar komputer juga, sampai pada hari ini saya hampir menguasai mengetik 10 jari.
   Teknik yang saya gunakan adalah bertanya, melakukan, dan berinovasi. Karena saya merasa hal baru itu menyenangkan, maka dari itu saya mengeksplor lebih jauh untuk menggapail ilmu yang lebih tinggi.
   Media yang saya sukai untuk belajar ialah Gadget, Buku, web, dan lain. Karena menurut saya memahami dan langsung mempraktekkan dapat mengasah cara berpikir saya untuk memahami dan menguasai hal tersebut."""
59,"""pengalaman belajar yang paling berkesan adalah ketika study tour di Bali. Banyak hal yg saya dapat ketika study tour di Bali mulai dari budaya, sedikit belajar bahasanya, dan tempat' wisata yg sangat indah dan memiliki sejarah.Saya sangat senang karena saya mendapatkan pengalaman baru .

Ketika saya belajar saya lebih suka di tempat yang sepi. saya suka belajar dengan melihat vidio atau berdiskusi dengan teman.

Saya menggunakan metode belajar mencatat lalu memahami. Cara saya memahami biasanya dengan membaca berulang kali.

Saya menggunakan media seperti YouTube, tiktok, Canva.Alasan. menggunakan media tersebut karna menarik"""
60,"""     menurut pengalaman belajar saya yang paling berkesan adalah  waktu smp karena di situ atau sewaktu saya smp sangat benar- benar menikmati pembelajaran karena sangat sangat mengejar nilai karena waktu itu saya bercita cita menjadi dokter hewan dan masuk sma , dan waktu akhir kelas tiga smp malah di suruh orang tua masuk smk dan disitu saya benar-benar down karena gagal masuk sma yang saya ingin kan. 

   dalam memahami materi yang saya pelajari adalah yang pertama berdiskusi sama teman dan menanyakan bagaimana materi tersebut dan yang kedua membaca tulisan atau teks yang ada dalam materi tersebut untuk mempelajari materi tersebut

   metode atau teknik yang saya gunakan untuk memahami materi tersebut adalah dengan berdiskusi atau menanyakan atau memahami teks yang ada pada materi tersebut adalah

   1 yang pertama adalah laptop karena untuk mengerjakan tugas tersebut 
 2 yang kedua adalah hp untuk mendengarkan musik atau melihat materi
3 yang ketiga adalah ipad  untuk melihat video ketika gabut mengerjakan tugas
"""
61,"""        Pengalaman yang menyenangkan bisa mengenal seorang yang enak diajak bicara. Bahkan dalam belajar juga bisa dipahami dengan mudah karena penjelasanya sangat jelas dan rinci membuat saya lebih lancar dalam mengikuti pelajaran. Yang paling berkesan adalah ketika meleakukan praktek saya dapat mengikutinya. Terkadang jika terjadi kesalahan juga dibantu dengan menjelaskan letak kesalahan.

         Cara memahami materi tentu saja dengan memperhatikan penjelasan guru terlebih dahulu. Saat praktek juga diejlaskan oleh guru lalu mengikuti modul yang diberikan. Saat ada tugas yang disuruh menyelesaikan sendiri terkadang juga membuka tutorial youtube.

        Strategi untuk belajar jelas 15-5-15 yaitu 15 menit belajar 5 menit istirahat 15 pertandingan rank. Jika disekolah sih tinggal mengikuti penjelasan yang diberikan guru lalu mengikuti langkah langkah yang diberikan.

        Media paling youtube jika praktek dan modul yang diberikan. Karena biasanya youtube memberikan penjelasan yang lengkap dan bisa diulang ulang untuk mengingat. Modul ntuh tugas jadi harus diikuti juga bisa buat belajar dikit dikit walaupun juga diselepin tugas."""
62,"""Pengalaman paling berkesan saya saat belajar adalah, ketika guru menjelaskan materi dengan jelas dan rinci, serta menggunakan alat peraga untuk menjelaskan serta mengimplementasikannya di dunia nyata. Saya merasa senang karena saya dapat memahami materi dengan baik, dan dapat melepas tawa juga karena guru yang lucu

Biasanya, saya mencoba memahami materi dengan mengerjakan latihan soal atau melihat youtube. setelah saya paham saya akan membaca kembali materi yang diajarkan, lalu mencoba mengerjakan latihan soal untuk mengetahui sejauh mana tingkat kepahaman saya.

Strategi atau teknik belajar yang saya gunakan adalah teknik pomodoro dan feynman. Teknik pomodoro adalah teknik belajar yang dibagi menjadi beberapa sesi, misal 25 menit belajar dan 5 menit istirahat sebanyak 4 sesi, kemudian setelah sesi ke 4 selesai dilanjutkan dengan istirahat panjang. Sedangkan, teknik feynman adalah teknik belajar dengan cara seolah olah menjelaskan materi ke anak yang berusia 5 tahun. saya memilih metode ini karena sangat mudah untuk di implementasikan.

Biasanya saya menggunakan media kertas, laptop dan papan tulis. Kertas saya gunakan untuk mencatat materi, laptop saya gunakan untuk mencari materi, dan papan tulis saya gunakan sebagai pendukung untuk belajar dengan teknik feynman. saya memilih media ini karena praktis, dan memanfaatkan barang barang tidak berguna yang ada di rumah."""
63,"""     Ketika saya awal semester kelas 10 dan tiba jadwal praktek, saya disitu belum paham sama sekali mengenai cara jalan construct 3 (web membuat game). saya belum sepenuhnya paham sampai suatu saat guru saya terbantu dengan seorang mahasiswa, saya disitu mulai berani bertanya-tanya dan saya merasakan perbedaan saat saya diajar oleh guru saya dan kakak mahasiswa, saya mulai paham cara jalan website itu dan saya mulai paham tentang coding. saya awalnya ingin menyerah masuk jurusan ini tapi setelah mendapatkan sedikit jalan saya ingin berusaha lagi untuk memahami lebih dalam. saya di sini merasakan betapa berkesannya kedatangan kaka mahasiswa tersebut, karena dengan hati yang tulus dan ikhlas membuat saya lebih berkesan. saya harap suatu saat saya akan menjadi seperti kakak mahasiswa ini, yang kehadirannya begitu berharga dan bermanfaat bagi orang lain. 
     Saya bisa memahami materi ketika saya dijelaskan dengan rinci. saya bisa paham ketika pemateri menjelaskan secara langsung, ketika saya melihat vidio tutorial dengan jelas, saya bisa memahami dengan melihat contoh atau melihat pengalaman orang lain, dan saya bisa benar-benar memahami dari kesalahan saya sendiri dengan pengalaman tersebut saya jadi lebih mengerti dimana apa menyebabkan kesalahan tersebut. 
     Saya memilih strategi belajar yang dimana ketika saya belajar itu dijelaskan, diberi contoh, dan dalam keadaan tenang. saya memilih strategi itu karena dengan belajar dijelaskan itu lebih paham, ketika diberi contoh saya lebih mengerti, dan ketika dalam keadaan tenang saya lebih fokus dan jalan. 
     saya lebih memilih media visual karena dengan media tersebut saya lebih bisa banyak mencurahkan ide ide dan lebih menyenangkan. 
"""
64,"""1.pengalaman belajar saya yang paling berkesan adalah ketika saya tidak bisa atau gagal saya tetap mencoba dan membaca catatan tersebut hingga akhir nya bisa
2.saya membaca teks secara mendalam
3.mendengarkan setelah itu membaca lagi secara berulang, karena metode tersebut mudah di ingat
4.Media yang paling sering saya gunakan saat belajar adalah video, karena mudah diingat"""
65,"""  Pengalaman belajar yang membuat saya terkesan ialah saat seorang guru menjelaskan materi dengan rinci dan mudah di pahami to the point dan memakai alat peraga lalu di implementasikan pada siswa siswi nya pada saat itu juga

  Cara saya memahami materi dengan mengulang materi yang telah di sampaikan lalu jika ada yang kurang saya akan mencari materi di internet lalu saya ringkas, jika ada sesuatu yang membuat janggal saya akan konsultasi dengan guru materi tersebut jika saya sudah selesai untuk memahami saya akan mencari contoh soal di internet untuk menambah pemahaman akan materi tersebut

   teknik belalajar yang saya gunakan ialah pomodoro , Pomodoro adalah teknik nelajar yang di bagi menjadi beberapa sesi. Contoh nya : 25 menit adalah waktu belajar dan 5 menit isirahat di ulang sebanyak 3 atau 4 sesi, setelah sesi ke 4 di lanjut istirahat panjang """" tidur """" 

   media yang saya sering gunakan ialah HP , buku note , bolpen / pensil. saya seing mencari beberapa informasi tentang materi yang di pelajari di internet lalu saya ringkas di buku note dengan pensil atau bolpen lalu saya pahami dan jika sudah paham saya akan menulis contoh soal dari internet lalu saya kerjakan di buku note saya """
66,"""Pengalaman belajar paling berkesan menurut saya adalah membuat aplikasi game, karena menurut saya itu menyenangkan 

Untuk memahami materi pelajaran, saya biasanya membagi materi menjadi bagian-bagian kecil yang lebih mudah dicerna. Hal ini membantu saya untuk fokus pada satu topik pada satu waktu dan menghindari kebingungan akibat terlalu banyak informasi sekaligus.

Dalam proses pembelajaran, saya cenderung menggunakan metode belajar aktif seperti diskusi kelompok atau memecahkan soal-soal latihan secara mandiri. 

Ketika belajar, media yang paling sering saya gunakan adalah video pembelajaran di YouTube dan aplikasi pembelajaran digital. Video memberikan visualisasi yang mempermudah pemahaman saya."""
67,"""Pengalaman paling berkesan saat belajar bagi saya adalah, ketika pemberi materi menjelaskan materi dengan jelas dan mudah dipahami disertai contoh seperti contoh pengaplikasiannya.

Biasanya, saya akan mencari contoh latihan yang disertai jawabannya, saya akan mengerjakannya dan setelah selesai akan saya bandingkan dengan jawabannya, bila ada yang salah akan saya cari letak kesalahannya dan mencoba lagi dengan contoh lain.

Saya menggunakan contoh soal, karena saya merasa lebih mudah paham apabila mencoba terlebih dahulu, atau menggunakan contoh alat peraga yang menggambarkan apa yang saya pelajari.

Saya lebih suka belajar dan mengerjakan contoh soalnya lewat internet dan video, terkadang saya juga menggunakan buku tetapi untuk contohnya saya tetap mencari di internet."""
